103742,23.32.8.0/24,9498,20940,,,8
103741,91.197.55.0/24,44486,207252,,,2
103740,138.204.34.0/23,263557,52573,,,8
103739,69.165.78.0/24,393437,206888,,,4
103738,154.38.96.0/24,18186,23456,,,1
103736,201.217.51.0/24,27768,27866,,,4
103735,172.252.8.0/24,64315,834,,,2
103734,154.72.34.0/24,36970,327721,,,2
103732,2407:c080:1800::/37,134542,58519,,,2
103731,2402:db40:5100::/48,23724,4808,,,2
103730,2403:1ec0:1610::/48,4811,138421,,,2
103729,2403:1ec0:1400::/48,136958,58466,,,2
103728,2407:c080:1800::/37,58519,134542,,,2
103727,2403:1ec0:1400::/48,58466,136958,,,2
103726,206.254.231.0/24,6461,3354,,,12
103725,45.64.107.0/24,146943,132335,,,12
103724,87.236.232.0/24,8697,35656,,,4
103723,193.188.66.0/24,9038,8934,,,12
103722,196.216.203.0/24,55002,37452,,,4
103720,31.56.67.0/24,47376,211854,,,10
103719,103.163.243.0/24,9583,141561,,,8
103717,80.88.10.0/24,37148,328240,,,4
103715,102.36.136.0/24,37196,328650,,,4
103714,172.252.8.0/24,834,52695,,,12
103713,154.84.164.0/24,59642,20326,,,2
103712,185.231.56.0/24,35598,9121,,,2
103711,185.231.56.0/24,9121,35598,,,2
103710,197.156.240.0/24,3741,30988,,,8
103709,196.200.116.0/24,37350,30988,,,4
103708,93.114.183.0/24,48678,209604,,,12
103707,104.253.6.0/24,3561,262287,,,12
103706,103.178.56.0/24,55933,13378,,,4
103701,45.174.10.0/23,266164,268938,,,8
103700,89.47.92.0/23,50369,44739,,,12
103699,143.0.136.0/22,264595,264011,,,8
103698,190.111.156.0/23,268605,270430,,,8
103697,196.46.192.0/19,37154,7420,,,4
103695,23.252.77.0/24,3257,3320,,,8
103694,45.178.18.0/24,263097,263650,,,8
103692,2804:83c4:8000::/48,264210,272218,,,8
103691,154.91.32.0/24,393437,137443,,,12
103690,72.140.232.0/22,29988,54412,,,8
103689,181.189.172.0/24,27987,264830,,,4
103688,128.224.254.0/24,33544,16920,,,8
103687,102.223.164.0/22,37236,328641,,,4
103686,185.165.30.0/24,48147,64434,,,4
103685,2403:1ec0:1610::/48,138421,4811,,,2
103684,45.251.69.0/24,135244,135872,,,12
103683,23.27.134.0/24,12083,26383,,,12
103682,104.223.127.0/24,8100,36352,,,8
103680,45.40.97.0/24,29802,834,,,2
103677,64.84.96.0/21,33667,33651,,,8
103676,162.12.204.0/24,14178,60798,,,12
103674,68.234.42.0/24,33287,33659,,,2
103673,68.234.42.0/24,33659,33287,,,2
103672,45.58.240.0/22,46887,7018,,,12
103671,104.164.0.0/24,19437,396356,,,8
103670,64.50.188.0/22,212238,834,,,2
103669,102.128.192.0/18,37192,23456,,,1
103668,102.212.67.0/24,19905,23456,,,4
103667,102.215.218.0/23,327934,329071,,,4
103666,45.181.204.0/24,262186,269746,,,8
103665,2a03:2887:ff52::/48,265561,63293,,,8
103664,69.54.240.0/22,55134,55154,,,2
103663,103.21.69.0/24,18229,134334,,,12
103662,196.220.224.0/20,37661,37420,,,12
103661,193.188.105.0/24,6453,5416,,,12
103660,151.236.167.0/24,203217,59588,,,12
103659,45.159.58.0/24,18013,23456,,,1
103658,147.53.112.0/24,64267,7018,,,12
103656,103.20.34.0/24,131274,55996,,,4
103655,196.242.77.0/24,58065,48950,,,2
103654,12.148.169.0/24,2386,20120,,,2
103653,41.243.12.0/24,327708,37020,,,4
103651,168.100.236.0/23,30058,174,,,4
103650,162.18.71.0/24,10753,17025,,,4
103649,161.132.72.0/24,27843,3132,,,4
103648,162.18.71.0/24,17025,10753,,,2
103647,103.8.44.0/24,45820,17753,,,4
103646,80.88.3.0/24,37287,328194,,,4
103645,2803:1800:8000::/33,13489,27831,,,4
103642,103.161.184.0/24,138115,141623,,,8
103641,201.217.51.0/24,27768,27866,,,4
103640,194.15.212.0/24,203,201641,,,12
103639,82.132.219.0/24,12956,35228,,,8
103638,240d:c010:31::/48,132203,139341,,,4
103637,141.226.255.0/24,198949,48851,,,8
103636,85.117.236.0/24,42910,210099,,,12
103635,194.149.66.0/24,25371,9056,,,8
103634,130.117.172.0/24,37094,174,,,4
103633,91.221.12.0/23,3257,3320,,,4
103632,157.254.230.0/24,136359,834,,,8
103631,202.72.232.0/24,23991,38210,,,12
103630,173.44.34.0/24,8100,36352,,,4
103628,91.223.68.0/24,198999,2115,,,4
103627,31.56.67.0/24,47376,211854,,,10
103626,2402:7d80:240::/48,24348,4538,,,2
103625,165.99.38.0/23,137823,140919,,,4
103624,41.219.0.0/18,37196,8346,,,4
103623,103.31.190.0/24,56124,58765,,,4 
